Station,gantry,Latitude,Longitude,Lane Count,Month,ClimateType,Estimated Monthly Consumption (kWh)
后里,03F-148.5S,24.467308,120.681217,3.0,7,-1,1685.5
后里,03F-148.5S,24.467308,120.681217,3.0,8,-1,1685.5
后里,03F-148.5S,24.467308,120.681217,3.0,9,-1,1657.5
后里,03F-148.5S,24.467308,120.681217,3.0,10,-1,1657.5
后里,03F-148.5S,24.467308,120.681217,3.0,11,-1,1484.5
后里,03F-148.5S,24.467308,120.681217,3.0,12,-1,1484.5
后里,03F-163.3N,24.341119,120.651567,3.0,4,1,1656.5
后里,03F-163.3N,24.341119,120.651567,3.0,5,1,1656.5
后里,03F-163.3N,24.341119,120.651567,3.0,6,1,1752.5
后里,03F-163.3N,24.341119,120.651567,3.0,7,1,1752.5
后里,03F-163.3N,24.341119,120.651567,3.0,8,1,1682.0
后里,03F-163.3N,24.341119,120.651567,3.0,9,1,1682.0
后里,03F-163.3N,24.341119,120.651567,3.0,10,1,1598.0
后里,03F-163.3N,24.341119,120.651567,3.0,11,1,1598.0
后里,03F-165.1S,24.334719,120.635578,3.0,4,1,1672.5
后里,03F-165.1S,24.334719,120.635578,3.0,5,1,1672.5
后里,03F-165.1S,24.334719,120.635578,3.0,6,1,1807.5
后里,03F-165.1S,24.334719,120.635578,3.0,7,1,1807.5
后里,03F-165.1S,24.334719,120.635578,3.0,8,1,1720.0
后里,03F-165.1S,24.334719,120.635578,3.0,9,1,1720.0
后里,03F-165.1S,24.334719,120.635578,3.0,10,1,1587.0
后里,03F-165.1S,24.334719,120.635578,3.0,11,1,1587.0
后里,03F-171.0N,24.292881,120.601964,3.0,3,1,1800.5
后里,03F-171.0N,24.292881,120.601964,3.0,4,1,1800.5
后里,03F-171.0N,24.292881,120.601964,3.0,5,1,1686.5
后里,03F-171.0N,24.292881,120.601964,3.0,6,1,1686.5
后里,03F-171.0N,24.292881,120.601964,3.0,7,1,1863.0
后里,03F-171.0N,24.292881,120.601964,3.0,8,1,1863.0
后里,03F-171.0N,24.292881,120.601964,3.0,9,1,1743.0
后里,03F-171.0N,24.292881,120.601964,3.0,10,1,1743.0
后里,03F-173.9S,24.269464,120.590806,3.0,3,1,1717.5
后里,03F-173.9S,24.269464,120.590806,3.0,4,1,1717.5
后里,03F-173.9S,24.269464,120.590806,3.0,5,1,1086.5
后里,03F-173.9S,24.269464,120.590806,3.0,6,1,1086.5
后里,03F-173.9S,24.269464,120.590806,3.0,7,1,2280.5
后里,03F-173.9S,24.269464,120.590806,3.0,8,1,2280.5
后里,03F-173.9S,24.269464,120.590806,3.0,9,1,1764.5
后里,03F-173.9S,24.269464,120.590806,3.0,10,1,1764.5
后里,03F-177.9N,24.234647,120.593306,3.0,3,1,1740.0
后里,03F-177.9N,24.234647,120.593306,3.0,4,1,1740.0
后里,03F-177.9N,24.234647,120.593306,3.0,5,1,1591.0
后里,03F-177.9N,24.234647,120.593306,3.0,6,1,1591.0
后里,03F-177.9N,24.234647,120.593306,3.0,7,1,1763.5
后里,03F-177.9N,24.234647,120.593306,3.0,8,1,1763.5
后里,03F-177.9N,24.234647,120.593306,3.0,9,1,1685.5
后里,03F-177.9N,24.234647,120.593306,3.0,10,1,1685.5
后里,03F-186.0N,24.177831,120.548244,3.0,3,1,1793.0
后里,03F-186.0N,24.177831,120.548244,3.0,4,1,1793.0
后里,03F-186.0N,24.177831,120.548244,3.0,5,1,1600.0
后里,03F-186.0N,24.177831,120.548244,3.0,6,1,1600.0
