,Station,gantry,Latitude,Longitude,Equipment Lane Count,Lane Count,Billing Month,Electricity Consumption (kWh),Feeder Line Category,Power Outage Group,Billing Period (Start),Billing Period (End),Lighting Usage Category,Number of Usage Days Last Year (Second Half),Billed kWh - Regular (Peak),Number of Usage Days Same Period Last Year,Average Electricity Consumption,Electricity Usage Same Period Last Year,Electricity Usage Last Year (Second Half),Number of Usage Days This Period
30,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,08,3678,W427,D,2024-05-24,2024-07-25,G08,62,3678,59,2866,3378,3569,63
31,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,10,3527,W427,D,2024-07-26,2024-09-24,G08,62,3527,62,2937,3569,3503,61
32,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,12,3479,W427,D,2024-09-25,2024-11-25,G08,62,3479,62,2354,3503,3387,62
33,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,07,4536,WZ24,A,2024-04-25,2024-06-24,G08,64,4536,57,4536,4112,4820,61
34,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,09,4799,WZ24,A,2024-06-25,2024-08-26,G08,61,4799,64,4799,4820,4486,63
35,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,11,4621,WZ24,A,2024-08-27,2024-10-27,G08,63,4621,61,4621,4486,4427,62
36,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,01,4056,WZ24,A,2024-10-28,2024-12-24,G08,59,4056,63,4056,4427,4161,58
37,樹林,03F-033.7S,24.978881,121.502381,4.0,3.0,06,2258,WB25,H,2024-04-11,2024-06-11,G08,61,2258,56,4906,1949,2266,62
38,樹林,03F-033.7S,24.978881,121.502381,4.0,3.0,08,2313,WB25,H,2024-06-12,2024-08-12,G08,60,2313,61,5959,2266,2188,62
39,樹林,03F-033.7S,24.978881,121.502381,4.0,3.0,10,2278,WB25,H,2024-08-13,2024-10-13,G08,62,2278,60,5598,2188,2176,62
40,樹林,03F-033.7S,24.978881,121.502381,4.0,3.0,12,2088,WB25,H,2024-10-14,2024-12-11,G08,62,2088,62,4191,2176,2139,59
41,樹林,03F-033.8N,24.978586,121.501744,4.0,3.0,06,2263,WB25,H,2024-04-11,2024-06-11,G08,61,2263,56,4906,1910,2320,62
42,樹林,03F-033.8N,24.978586,121.501744,4.0,3.0,08,2286,WB25,H,2024-06-12,2024-08-12,G08,60,2286,61,5959,2320,2232,62
43,樹林,03F-033.8N,24.978586,121.501744,4.0,3.0,10,2258,WB25,H,2024-08-13,2024-10-13,G08,62,2258,60,5598,2232,2384,62
44,樹林,03F-033.8N,24.978586,121.501744,4.0,3.0,12,2081,WB25,H,2024-10-14,2024-12-11,G08,62,2081,62,4191,2384,1925,59
45,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,07,4020,WM27,E,2024-04-29,2024-06-26,G08,60,4020,61,1385,4431,4207,59
46,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,09,4321,WM33,E,2024-06-27,2024-08-28,G08,61,4321,60,1746,4207,4226,63
47,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,11,4180,WM33,E,2024-08-29,2024-10-29,G08,63,4180,61,1590,4226,4227,62
48,樹林,03F-030.1SN,24.96255,121.530572,4.0,3.0,01,3804,WM33,E,2024-10-30,2024-12-26,G08,61,3804,63,1037,4227,4076,58
49,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,05,3939,W529,E,2024-03-04,2024-05-05,G08,57,3939,60,7365,3864,3752,63
50,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,07,3740,W529,E,2024-05-06,2024-07-02,G08,62,3740,57,7447,3752,4003,58
51,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,09,4112,W529,E,2024-07-03,2024-09-03,G08,59,4112,62,9869,4003,3739,63
52,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,11,3985,W529,E,2024-09-04,2024-11-04,G08,67,3985,59,8701,3739,4146,62
53,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,05,5554,WG29,H,2024-03-15,2024-05-16,B21,58,5554,60,無,5050,4634,63
54,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,07,4828,WG29,H,2024-05-17,2024-07-15,B21,62,4828,58,無,4634,5293,60
55,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,09,5405,WG29,H,2024-07-16,2024-09-17,B21,59,5405,62,無,5293,4557,64
56,樹林,03F-039.4SN,24.975247,121.454925,5.0,4.0,11,4331,WG29,H,2024-09-18,2024-11-17,B21,66,4331,59,無,4557,5508,61
