Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh)
后里,03F-186.0N,24.177831,120.548244,3.0,10,1656.5
后里,03F-194.1N,24.120947,120.534547,3.0,4,1066.0
后里,03F-194.1N,24.120947,120.534547,3.0,5,1066.0
后里,03F-194.1N,24.120947,120.534547,3.0,6,1316.5
后里,03F-194.1N,24.120947,120.534547,3.0,7,1316.5
后里,03F-194.1N,24.120947,120.534547,3.0,8,1129.0
后里,03F-194.1N,24.120947,120.534547,3.0,9,1129.0
后里,03F-194.1N,24.120947,120.534547,3.0,10,1132.0
后里,03F-194.1N,24.120947,120.534547,3.0,11,1132.0
后里,03F-194.4S,24.119011,120.536692,3.0,4,1082.5
后里,03F-194.4S,24.119011,120.536692,3.0,5,1082.5
后里,03F-194.4S,24.119011,120.536692,3.0,6,1217.0
后里,03F-194.4S,24.119011,120.536692,3.0,7,1217.0
后里,03F-194.4S,24.119011,120.536692,3.0,8,1075.0
后里,03F-194.4S,24.119011,120.536692,3.0,9,1075.0
后里,03F-194.4S,24.119011,120.536692,3.0,10,1130.5
后里,03F-194.4S,24.119011,120.536692,3.0,11,1130.5
員林,01F-177.4SN,24.184592,120.635611,3.0,4,606.0
員林,01F-177.4SN,24.184592,120.635611,3.0,5,606.0
員林,01F-177.4SN,24.184592,120.635611,3.0,6,257.5
員林,01F-177.4SN,24.184592,120.635611,3.0,7,257.5
員林,01F-177.4SN,24.184592,120.635611,3.0,8,1662.0
員林,01F-177.4SN,24.184592,120.635611,3.0,9,1662.0
員林,01F-177.4SN,24.184592,120.635611,3.0,10,1265.0
員林,01F-177.4SN,24.184592,120.635611,3.0,11,1265.0
員林,01F-180.2SN,24.163706,120.621933,3.0,3,1760.5
員林,01F-180.2SN,24.163706,120.621933,3.0,4,1760.5
員林,01F-180.2SN,24.163706,120.621933,3.0,5,1782.5
員林,01F-180.2SN,24.163706,120.621933,3.0,6,1782.5
員林,01F-180.2SN,24.163706,120.621933,3.0,7,1950.0
員林,01F-180.2SN,24.163706,120.621933,3.0,8,1950.0
員林,01F-180.2SN,24.163706,120.621933,3.0,9,1795.5
員林,01F-180.2SN,24.163706,120.621933,3.0,10,1795.5
員林,01F-183.9SN,24.130767,120.617247,3.0,4,1817.5
員林,01F-183.9SN,24.130767,120.617247,3.0,5,1817.5
員林,01F-183.9SN,24.130767,120.617247,3.0,6,1920.0
員林,01F-183.9SN,24.130767,120.617247,3.0,7,1920.0
員林,01F-183.9SN,24.130767,120.617247,3.0,8,1892.5
員林,01F-183.9SN,24.130767,120.617247,3.0,9,1892.5
員林,01F-183.9SN,24.130767,120.617247,3.0,10,1741.0
員林,01F-183.9SN,24.130767,120.617247,3.0,11,1741.0
員林,01F-190.6SN,24.113572,120.568131,3.0,4,1761.5
員林,01F-190.6SN,24.113572,120.568131,3.0,5,1761.5
員林,01F-190.6SN,24.113572,120.568131,3.0,6,2001.0
員林,01F-190.6SN,24.113572,120.568131,3.0,7,2001.0
員林,01F-190.6SN,24.113572,120.568131,3.0,8,1819.5
員林,01F-190.6SN,24.113572,120.568131,3.0,9,1819.5
員林,01F-190.6SN,24.113572,120.568131,3.0,10,1881.5
員林,01F-190.6SN,24.113572,120.568131,3.0,11,1881.5
員林,01F-196.0SN,24.085622,120.52785,4.0,3,2121.5
員林,01F-196.0SN,24.085622,120.52785,4.0,4,2121.5
員林,01F-196.0SN,24.085622,120.52785,4.0,5,1959.5
員林,01F-196.0SN,24.085622,120.52785,4.0,6,1959.5
員林,01F-196.0SN,24.085622,120.52785,4.0,7,2207.5
員林,01F-196.0SN,24.085622,120.52785,4.0,8,2207.5
員林,01F-196.0SN,24.085622,120.52785,4.0,9,2065.5
員林,01F-196.0SN,24.085622,120.52785,4.0,10,2065.5
員林,01F-201.1SN,24.040639,120.522786,3.0,4,1819.5
員林,01F-201.1SN,24.040639,120.522786,3.0,5,1819.5
員林,01F-201.1SN,24.040639,120.522786,3.0,6,1916.0
員林,01F-201.1SN,24.040639,120.522786,3.0,7,1916.0
員林,01F-201.1SN,24.040639,120.522786,3.0,8,1906.0
員林,01F-201.1SN,24.040639,120.522786,3.0,9,1906.0
員林,01F-201.1SN,24.040639,120.522786,3.0,10,1757.0
員林,01F-201.1SN,24.040639,120.522786,3.0,11,1757.0
員林,01F-208.9SN,23.971794,120.506117,3.0,4,1764.0
員林,01F-208.9SN,23.971794,120.506117,3.0,5,1764.0
員林,01F-208.9SN,23.971794,120.506117,3.0,6,1833.5
員林,01F-208.9SN,23.971794,120.506117,3.0,7,1833.5
員林,01F-208.9SN,23.971794,120.506117,3.0,8,1728.0
員林,01F-208.9SN,23.971794,120.506117,3.0,9,1728.0
員林,01F-208.9SN,23.971794,120.506117,3.0,10,1827.5
員林,01F-208.9SN,23.971794,120.506117,3.0,11,1827.5
員林,01F-215.6SN,23.912769,120.49765,3.0,3,1634.0
員林,01F-215.6SN,23.912769,120.49765,3.0,4,1634.0
員林,01F-215.6SN,23.912769,120.49765,3.0,5,1663.0
員林,01F-215.6SN,23.912769,120.49765,3.0,6,1663.0
員林,01F-215.6SN,23.912769,120.49765,3.0,7,1736.5
員林,01F-215.6SN,23.912769,120.49765,3.0,8,1736.5
員林,01F-215.6SN,23.912769,120.49765,3.0,9,1691.5
員林,01F-215.6SN,23.912769,120.49765,3.0,10,1691.5
員林,01F-224.9SN,23.830569,120.484881,3.0,4,1675.0
員林,01F-224.9SN,23.830569,120.484881,3.0,5,1675.0
員林,01F-224.9SN,23.830569,120.484881,3.0,6,1767.5
員林,01F-224.9SN,23.830569,120.484881,3.0,7,1767.5
員林,01F-224.9SN,23.830569,120.484881,3.0,8,1733.0
員林,01F-224.9SN,23.830569,120.484881,3.0,9,1733.0
員林,01F-224.9SN,23.830569,120.484881,3.0,10,1573.0
員林,01F-224.9SN,23.830569,120.484881,3.0,11,1573.0
員林,01F-232.2SN,23.766328,120.469342,3.0,3,1689.0
員林,01F-232.2SN,23.766328,120.469342,3.0,4,1689.0
員林,01F-232.2SN,23.766328,120.469342,3.0,5,1522.5
員林,01F-232.2SN,23.766328,120.469342,3.0,6,1522.5
員林,01F-232.2SN,23.766328,120.469342,3.0,7,1703.0
員林,01F-232.2SN,23.766328,120.469342,3.0,8,1703.0
員林,01F-232.2SN,23.766328,120.469342,3.0,9,1666.0
