toll_booth,gantry,month,ac_a_current,ac_b_current,rs485_temperature,mains_power_220_current,mains_power_l1_voltage,mains_power_l2_voltage,smr_dc_current,smr_dc_voltage
新市,01F-301.9N,2025-05,0.953125,1.16875,19.041666666666664,10.904166666666667,116.20416666666667,116.25416666666666,63.104166666666664,26.757291666666667
新市,01F-308.3N,2024-06,0.9377777777777777,0.8819444444444444,22.876388888888886,14.851805555555556,120.33916666666667,120.52847222222222,63.40138888888889,26.743888888888886
新市,01F-308.3N,2024-07,0.9979838709677419,0.8751344086021505,22.849327956989246,10.75752688172043,116.61532258064517,116.68131720430108,63.42486559139785,26.74825268817204
新市,01F-308.3N,2024-08,0.9422043010752688,0.8649193548387095,22.758064516129032,10.673252688172044,116.63655913978495,116.80524193548388,63.4127688172043,26.750806451612902
新市,01F-308.3N,2024-09,0.9855555555555555,0.7569444444444444,22.88083333333333,10.626111111111111,116.66777777777777,116.84555555555556,63.41986111111111,26.751249999999995
新市,01F-308.3N,2024-10,0.8369623655913978,0.7919354838709678,22.55779569892473,10.481989247311828,116.75416666666666,116.92607526881721,63.450537634408605,26.7502688172043
新市,01F-308.3N,2024-11,0.8204166666666667,0.6626388888888889,22.353055555555553,10.338194444444444,116.89916666666666,116.95458333333335,63.66236111111111,26.749305555555555
新市,01F-308.3N,2024-12,0.6876344086021505,0.5744623655913978,22.066532258064516,10.101881720430109,116.93575268817204,117.00147849462365,63.78346774193548,26.74825268817204
新市,01F-308.3N,2025-01,0.6452956989247312,0.5282258064516129,22.02970430107527,10.031048387096773,116.91814516129033,117.0491935483871,63.983064516129026,26.753494623655914
新市,01F-308.3N,2025-02,0.6380952380952382,0.5388392857142857,22.091964285714283,10.04404761904762,117.01919642857142,117.17470238095238,63.94345238095239,26.752976190476186
新市,01F-308.3N,2025-03,0.7236559139784946,0.6224462365591398,22.26532258064516,10.213844086021505,116.81518817204302,116.97634408602151,63.84206989247311,26.750403225806448
新市,01F-308.3N,2025-04,0.8143055555555556,0.7161111111111111,22.35388888888889,10.430694444444445,116.55388888888889,116.73583333333333,63.7225,26.74958333333333
新市,01F-308.3N,2025-05,0.8322916666666667,0.9052083333333334,22.451041666666665,10.633333333333333,116.890625,117.009375,63.834375,26.73645833333333
新市,01F-312.6S,2024-06,1.0747222222222221,1.0386111111111112,23.165,10.674583333333334,116.4825,116.80958333333334,61.22319444444444,26.752083333333335
新市,01F-312.6S,2024-07,1.1134408602150538,1.097715053763441,23.349596774193547,10.721639784946237,117.03655913978494,117.44193548387096,61.14059139784946,26.7502688172043
新市,01F-312.6S,2024-08,1.0506720430107526,1.0380376344086022,23.194086021505377,10.647043010752688,116.34758064516129,116.76586021505375,61.2133064516129,26.74516129032258
新市,01F-312.6S,2024-09,1.1,0.9377777777777779,23.147777777777776,10.590972222222224,116.50277777777778,116.84569444444445,61.21583333333333,26.752222222222223
新市,01F-312.6S,2024-10,0.9577956989247312,0.9713709677419355,22.72029569892473,10.447043010752688,116.4883064516129,116.85524193548386,60.972311827956986,26.754435483870967
新市,01F-312.6S,2024-11,0.8827777777777778,0.8113888888888888,22.30194444444444,10.209027777777777,116.47333333333333,116.90708333333333,61.186527777777776,26.751250000000002
新市,01F-312.6S,2024-12,0.7553763440860215,0.6913978494623656,21.755241935483873,9.935483870967742,116.60228494623655,117.0108870967742,61.22392473118279,26.752419354838707
新市,01F-312.6S,2025-01,0.7092741935483872,0.6545698924731184,21.548655913978493,9.813844086021506,117.07647849462366,117.51424731182796,61.46760752688172,26.75228494623656
新市,01F-312.6S,2025-02,0.7489583333333334,0.6845238095238095,21.61845238095238,9.916071428571428,116.86383928571429,117.27470238095238,61.33497023809524,26.752232142857142
新市,01F-312.6S,2025-03,0.8293010752688172,0.7579301075268817,22.070698924731182,10.035618279569894,116.81182795698925,117.31129032258065,60.964919354838706,26.74838709677419
新市,01F-312.6S,2025-04,0.9329166666666667,0.8697222222222223,22.380277777777778,10.224166666666665,116.61513888888888,117.18208333333334,60.74333333333333,26.748749999999998
