Station,gantry,Latitude,Longitude,Lane Count,Month,Estimated Monthly Consumption (kWh),ClimateType
后里,03F-116.1N,24.698006,120.860086,3.0,10,1655.0,-0.20687471302133295
后里,03F-121.5N,24.655964,120.838242,3.0,4,1558.5,-0.5979172513023339
后里,03F-121.5N,24.655964,120.838242,3.0,5,1558.5,-0.644329105916345
后里,03F-121.5N,24.655964,120.838242,3.0,6,1739.0,-0.390217616069397
后里,03F-121.5N,24.655964,120.838242,3.0,7,1739.0,-0.28012317874446646
后里,03F-121.5N,24.655964,120.838242,3.0,8,1678.5,0.16475991140855464
后里,03F-121.5N,24.655964,120.838242,3.0,9,1678.5,-0.36898406470517614
后里,03F-121.5N,24.655964,120.838242,3.0,10,1650.0,-0.1615300721164424
后里,03F-121.5N,24.655964,120.838242,3.0,11,1650.0,-0.15402631957393176
后里,03F-125.7N,24.627161,120.814006,3.0,4,1674.5,-0.5243260600739542
后里,03F-125.7N,24.627161,120.814006,3.0,5,1674.5,-0.6106158499145462
后里,03F-125.7N,24.627161,120.814006,3.0,6,1762.0,-0.31944714417547343
后里,03F-125.7N,24.627161,120.814006,3.0,7,1762.0,-0.25237443890614425
后里,03F-125.7N,24.627161,120.814006,3.0,8,1612.0,0.20031363151109127
后里,03F-125.7N,24.627161,120.814006,3.0,9,1612.0,-0.37401367994025675
后里,03F-125.7N,24.627161,120.814006,3.0,10,1550.0,-0.08084394301198988
后里,03F-125.7N,24.627161,120.814006,3.0,11,1550.0,-0.08574976146207905
后里,03F-133.2N,24.579642,120.764417,3.0,4,1580.0,-0.4620100269400017
后里,03F-133.2N,24.579642,120.764417,3.0,5,1580.0,-0.5718784134813208
后里,03F-133.2N,24.579642,120.764417,3.0,6,1626.0,-0.3171616106119817
后里,03F-133.2N,24.579642,120.764417,3.0,7,1626.0,-0.3225188818897641
后里,03F-133.2N,24.579642,120.764417,3.0,8,1497.0,0.15986293466100368
后里,03F-133.2N,24.579642,120.764417,3.0,9,1497.0,-0.421596840828036
后里,03F-133.2N,24.579642,120.764417,3.0,10,1519.0,-0.019294870279330394
后里,03F-133.2N,24.579642,120.764417,3.0,11,1519.0,-0.045053538798937434
后里,03F-139.5S,24.531125,120.733253,3.0,4,1822.5,-0.4240857250059415
后里,03F-139.5S,24.531125,120.733253,3.0,5,1822.5,-0.5159690710468519
后里,03F-139.5S,24.531125,120.733253,3.0,6,1864.5,-0.259013364567306
后里,03F-139.5S,24.531125,120.733253,3.0,7,1864.5,-0.3104404862619143
后里,03F-139.5S,24.531125,120.733253,3.0,8,1707.0,0.1544253166458955
后里,03F-139.5S,24.531125,120.733253,3.0,9,1707.0,-0.41371747866225533
后里,03F-139.5S,24.531125,120.733253,3.0,10,1609.0,0.0487949265533469
后里,03F-139.5S,24.531125,120.733253,3.0,11,1609.0,0.00213317375269132
后里,03F-148.5S,24.467308,120.681217,3.0,3,1729.0,-0.4322798844441967
后里,03F-148.5S,24.467308,120.681217,3.0,4,1729.0,-0.35857418784503214
后里,03F-148.5S,24.467308,120.681217,3.0,5,1620.0,-0.4290781444064793
后里,03F-148.5S,24.467308,120.681217,3.0,6,1620.0,-0.17266165716623758
后里,03F-148.5S,24.467308,120.681217,3.0,7,1685.5,-0.28818725233042136
后里,03F-148.5S,24.467308,120.681217,3.0,8,1685.5,0.15267432135653156
后里,03F-148.5S,24.467308,120.681217,3.0,9,1657.5,-0.40154946868648417
后里,03F-148.5S,24.467308,120.681217,3.0,10,1657.5,0.16061619275110905
后里,03F-148.5S,24.467308,120.681217,3.0,11,1484.5,0.07707552338593264
后里,03F-148.5S,24.467308,120.681217,3.0,12,1484.5,-0.3459789946284827
后里,03F-163.3N,24.341119,120.651567,3.0,4,1656.5,-0.2600507035773328
后里,03F-163.3N,24.341119,120.651567,3.0,5,1656.5,-0.3157072721319413
后里,03F-163.3N,24.341119,120.651567,3.0,6,1752.5,-0.07863747373447526
后里,03F-163.3N,24.341119,120.651567,3.0,7,1752.5,-0.2532633077240193
后里,03F-163.3N,24.341119,120.651567,3.0,8,1682.0,0.15298493002027314
后里,03F-163.3N,24.341119,120.651567,3.0,9,1682.0,-0.40075655358048706
后里,03F-163.3N,24.341119,120.651567,3.0,10,1598.0,0.3169711234525478
后里,03F-163.3N,24.341119,120.651567,3.0,11,1598.0,0.17443039759123974
后里,03F-165.1S,24.334719,120.635578,3.0,4,1672.5,-0.2529784133946355
后里,03F-165.1S,24.334719,120.635578,3.0,5,1672.5,-0.3076828294605924
后里,03F-165.1S,24.334719,120.635578,3.0,6,1807.5,-0.07037204703327722
后里,03F-165.1S,24.334719,120.635578,3.0,7,1807.5,-0.24951019035348118
后里,03F-165.1S,24.334719,120.635578,3.0,8,1720.0,0.1545925146250093
后里,03F-165.1S,24.334719,120.635578,3.0,9,1720.0,-0.3988588509172001
后里,03F-165.1S,24.334719,120.635578,3.0,10,1587.0,0.328552193772081
后里,03F-165.1S,24.334719,120.635578,3.0,11,1587.0,0.18194357253354546
后里,03F-171.0N,24.292881,120.601964,3.0,3,1800.5,-0.19332583316957022
后里,03F-171.0N,24.292881,120.601964,3.0,4,1800.5,-0.1503282182914211
后里,03F-171.0N,24.292881,120.601964,3.0,5,1686.5,-0.22837819956152314
后里,03F-171.0N,24.292881,120.601964,3.0,6,1686.5,-0.005529992555053631
后里,03F-171.0N,24.292881,120.601964,3.0,7,1863.0,-0.2745264206404434
后里,03F-171.0N,24.292881,120.601964,3.0,8,1863.0,0.15714537123921685
后里,03F-171.0N,24.292881,120.601964,3.0,9,1743.0,-0.39747305603743743
后里,03F-171.0N,24.292881,120.601964,3.0,10,1743.0,0.44325113531216676
后里,03F-173.9S,24.269464,120.590806,3.0,3,1717.5,-0.18084174675070147
后里,03F-173.9S,24.269464,120.590806,3.0,4,1717.5,-0.1417104573546489
后里,03F-173.9S,24.269464,120.590806,3.0,5,1086.5,-0.2170162511716557
后里,03F-173.9S,24.269464,120.590806,3.0,6,1086.5,0.004440473718026641
后里,03F-173.9S,24.269464,120.590806,3.0,7,2280.5,-0.26856312179630515
后里,03F-173.9S,24.269464,120.590806,3.0,8,2280.5,0.15567642225602368
后里,03F-173.9S,24.269464,120.590806,3.0,9,1764.5,-0.3986325009283527
后里,03F-173.9S,24.269464,120.590806,3.0,10,1764.5,0.45845833734125147
后里,03F-177.9N,24.234647,120.593306,3.0,3,1740.0,-0.16467636445872225
后里,03F-177.9N,24.234647,120.593306,3.0,4,1740.0,-0.13028130401572346
后里,03F-177.9N,24.234647,120.593306,3.0,5,1591.0,-0.2010340362935192
后里,03F-177.9N,24.234647,120.593306,3.0,6,1591.0,0.010714657360392565
后里,03F-177.9N,24.234647,120.593306,3.0,7,1763.5,-0.25895693995443214
后里,03F-177.9N,24.234647,120.593306,3.0,8,1763.5,0.14741266203591807
后里,03F-177.9N,24.234647,120.593306,3.0,9,1685.5,-0.4099406979664246
后里,03F-177.9N,24.234647,120.593306,3.0,10,1685.5,0.47929119710274354
后里,03F-186.0N,24.177831,120.548244,3.0,3,1793.0,-0.14676635298156732
后里,03F-186.0N,24.177831,120.548244,3.0,4,1793.0,-0.11883433708485582
后里,03F-186.0N,24.177831,120.548244,3.0,5,1600.0,-0.18880472817347194
后里,03F-186.0N,24.177831,120.548244,3.0,6,1600.0,0.05891794791077498
后里,03F-186.0N,24.177831,120.548244,3.0,7,1908.5,-0.24441439386951086
后里,03F-186.0N,24.177831,120.548244,3.0,8,1908.5,0.1793811700297165
后里,03F-186.0N,24.177831,120.548244,3.0,9,1656.5,-0.36480316404106
后里,03F-186.0N,24.177831,120.548244,3.0,10,1656.5,0.5018435973849322
后里,03F-194.1N,24.120947,120.534547,3.0,4,1066.0,-0.10861435950157637
后里,03F-194.1N,24.120947,120.534547,3.0,5,1066.0,-0.17809165316475944
后里,03F-194.1N,24.120947,120.534547,3.0,6,1316.5,0.11606879061366572
后里,03F-194.1N,24.120947,120.534547,3.0,7,1316.5,-0.2204256628482128
后里,03F-194.1N,24.120947,120.534547,3.0,8,1129.0,0.22234363607348512
后里,03F-194.1N,24.120947,120.534547,3.0,9,1129.0,-0.30743231512696445
后里,03F-194.1N,24.120947,120.534547,3.0,10,1132.0,0.5259472286893554
后里,03F-194.1N,24.120947,120.534547,3.0,11,1132.0,0.31907042798635543
后里,03F-194.4S,24.119011,120.536692,3.0,4,1082.5,-0.10807529410315458
后里,03F-194.4S,24.119011,120.536692,3.0,5,1082.5,-0.17734634273519784
后里,03F-194.4S,24.119011,120.536692,3.0,6,1217.0,0.1172592998840891
后里,03F-194.4S,24.119011,120.536692,3.0,7,1217.0,-0.2192426244456395
后里,03F-194.4S,24.119011,120.536692,3.0,8,1075.0,0.22303280417540744
后里,03F-194.4S,24.119011,120.536692,3.0,9,1075.0,-0.30674304516953976
后里,03F-194.4S,24.119011,120.536692,3.0,10,1130.5,0.5272329545475707
后里,03F-194.4S,24.119011,120.536692,3.0,11,1130.5,0.3199772615709692
員林,01F-177.4SN,24.184592,120.635611,3.0,4,606.0,-0.11146097972888117
員林,01F-177.4SN,24.184592,120.635611,3.0,5,606.0,-0.16967228680023658
員林,01F-177.4SN,24.184592,120.635611,3.0,6,257.5,-0.02389036818116781
員林,01F-177.4SN,24.184592,120.635611,3.0,7,257.5,-0.2395752638623014
員林,01F-177.4SN,24.184592,120.635611,3.0,8,1662.0,0.08861855633087977
員林,01F-177.4SN,24.184592,120.635611,3.0,9,1662.0,-0.4935325204378096
員林,01F-177.4SN,24.184592,120.635611,3.0,10,1265.0,0.5142989786517953
員林,01F-177.4SN,24.184592,120.635611,3.0,11,1265.0,0.27787592301359587
員林,01F-180.2SN,24.163706,120.621933,3.0,3,1760.5,-0.1351181703385916
員林,01F-180.2SN,24.163706,120.621933,3.0,4,1760.5,-0.10846565364066008
員林,01F-180.2SN,24.163706,120.621933,3.0,5,1782.5,-0.16681038916066415
員林,01F-180.2SN,24.163706,120.621933,3.0,6,1782.5,-0.008194120204319406
員林,01F-180.2SN,24.163706,120.621933,3.0,7,1950.0,-0.2359807559113299
員林,01F-180.2SN,24.163706,120.621933,3.0,8,1950.0,0.10089778609854931
員林,01F-180.2SN,24.163706,120.621933,3.0,9,1795.5,-0.4765330953803222
員林,01F-180.2SN,24.163706,120.621933,3.0,10,1795.5,0.5203635578912359
員林,01F-183.9SN,24.130767,120.617247,3.0,4,1817.5,-0.10409910023163202
員林,01F-183.9SN,24.130767,120.617247,3.0,5,1817.5,-0.1633043677788455
員林,01F-183.9SN,24.130767,120.617247,3.0,6,1920.0,0.020866519868518264
員林,01F-183.9SN,24.130767,120.617247,3.0,7,1920.0,-0.23104369314977866
員林,01F-183.9SN,24.130767,120.617247,3.0,8,1892.5,0.12626423205287338
員林,01F-183.9SN,24.130767,120.617247,3.0,9,1892.5,-0.44173257725307213
員林,01F-183.9SN,24.130767,120.617247,3.0,10,1741.0,0.5294794352817636
員林,01F-183.9SN,24.130767,120.617247,3.0,11,1741.0,0.2966679617626747
員林,01F-190.6SN,24.113572,120.568131,3.0,4,1761.5,-0.10479965355108993
員林,01F-190.6SN,24.113572,120.568131,3.0,5,1761.5,-0.1712727372557044
員林,01F-190.6SN,24.113572,120.568131,3.0,6,2001.0,0.10286671530926701
員林,01F-190.6SN,24.113572,120.568131,3.0,7,2001.0,-0.21820117051790786
員林,01F-190.6SN,24.113572,120.568131,3.0,8,1819.5,0.20759981242120923
員林,01F-190.6SN,24.113572,120.568131,3.0,9,1819.5,-0.3295910086135164
員林,01F-190.6SN,24.113572,120.568131,3.0,10,1881.5,0.5332258964221402
員林,01F-190.6SN,24.113572,120.568131,3.0,11,1881.5,0.31932001410955374
員林,01F-196.0SN,24.085622,120.52785,4.0,3,2121.5,-0.11990009754929391
員林,01F-196.0SN,24.085622,120.52785,4.0,4,2121.5,-0.10220387180194425
員林,01F-196.0SN,24.085622,120.52785,4.0,5,1959.5,-0.17157460598930666
員林,01F-196.0SN,24.085622,120.52785,4.0,6,1959.5,0.1654582090308736
員林,01F-196.0SN,24.085622,120.52785,4.0,7,2207.5,-0.19480583884081729
員林,01F-196.0SN,24.085622,120.52785,4.0,8,2207.5,0.2616606600078363
員林,01F-196.0SN,24.085622,120.52785,4.0,9,2065.5,-0.25640660712187396
員林,01F-196.0SN,24.085622,120.52785,4.0,10,2065.5,0.5445183734720728
員林,01F-201.1SN,24.040639,120.522786,3.0,4,1819.5,-0.06512246955116636
員林,01F-201.1SN,24.040639,120.522786,3.0,5,1819.5,-0.13663077676212254
員林,01F-201.1SN,24.040639,120.522786,3.0,6,1916.0,0.2785369451736969
員林,01F-201.1SN,24.040639,120.522786,3.0,7,1916.0,-0.1924638557290355
員林,01F-201.1SN,24.040639,120.522786,3.0,8,1906.0,0.30429492611880615
員林,01F-201.1SN,24.040639,120.522786,3.0,9,1906.0,-0.21082674450980668
員林,01F-201.1SN,24.040639,120.522786,3.0,10,1757.0,0.5884002807338601
員林,01F-201.1SN,24.040639,120.522786,3.0,11,1757.0,0.38412595148325324
員林,01F-208.9SN,23.971794,120.506117,3.0,4,1764.0,-0.06299380599914305
員林,01F-208.9SN,23.971794,120.506117,3.0,5,1764.0,-0.13476227314680903
員林,01F-208.9SN,23.971794,120.506117,3.0,6,1833.5,0.36921830687567464
員林,01F-208.9SN,23.971794,120.506117,3.0,7,1833.5,-0.11926621908398556
員林,01F-208.9SN,23.971794,120.506117,3.0,8,1728.0,0.379973222125974
員林,01F-208.9SN,23.971794,120.506117,3.0,9,1728.0,-0.11733626787284804
員林,01F-208.9SN,23.971794,120.506117,3.0,10,1827.5,0.6146905956560366
員林,01F-208.9SN,23.971794,120.506117,3.0,11,1827.5,0.41754680633807617
員林,01F-215.6SN,23.912769,120.49765,3.0,3,1634.0,-0.06340562399430814
員林,01F-215.6SN,23.912769,120.49765,3.0,4,1634.0,-0.06750300025084113
員林,01F-215.6SN,23.912769,120.49765,3.0,5,1663.0,-0.14653122494290532
員林,01F-215.6SN,23.912769,120.49765,3.0,6,1663.0,0.3264530905043732
員林,01F-215.6SN,23.912769,120.49765,3.0,7,1736.5,-0.20066821710326804
員林,01F-215.6SN,23.912769,120.49765,3.0,8,1736.5,0.3346750929909299
員林,01F-215.6SN,23.912769,120.49765,3.0,9,1691.5,-0.1618812003573024
員林,01F-215.6SN,23.912769,120.49765,3.0,10,1691.5,0.5758170613335313
員林,01F-224.9SN,23.830569,120.484881,3.0,4,1675.0,-0.08537348100114832
員林,01F-224.9SN,23.830569,120.484881,3.0,5,1675.0,-0.18400872504893767
員林,01F-224.9SN,23.830569,120.484881,3.0,6,1767.5,0.19138701189682963
員林,01F-224.9SN,23.830569,120.484881,3.0,7,1767.5,-0.4207885877325928
員林,01F-224.9SN,23.830569,120.484881,3.0,8,1733.0,0.1855810453834232
員林,01F-224.9SN,23.830569,120.484881,3.0,9,1733.0,-0.3131183192267682
員林,01F-224.9SN,23.830569,120.484881,3.0,10,1573.0,0.458578827605527
員林,01F-224.9SN,23.830569,120.484881,3.0,11,1573.0,0.29741812373927273
員林,01F-232.2SN,23.766328,120.469342,3.0,3,1689.0,-0.11151537909878903
員林,01F-232.2SN,23.766328,120.469342,3.0,4,1689.0,-0.10953951300368946
員林,01F-232.2SN,23.766328,120.469342,3.0,5,1522.5,-0.22703554619506844
員林,01F-232.2SN,23.766328,120.469342,3.0,6,1522.5,0.10101092207187196
員林,01F-232.2SN,23.766328,120.469342,3.0,7,1703.0,-0.5826072508425039
員林,01F-232.2SN,23.766328,120.469342,3.0,8,1703.0,0.061988893288795484
員林,01F-232.2SN,23.766328,120.469342,3.0,9,1666.0,-0.4227184925165012
員林,01F-232.2SN,23.766328,120.469342,3.0,10,1666.0,0.3479640418155463
員林,01F-239.4SN,23.702603,120.474917,3.0,4,1694.0,-0.1517476905741325
員林,01F-239.4SN,23.702603,120.474917,3.0,5,1694.0,-0.29180504979842525
員林,01F-239.4SN,23.702603,120.474917,3.0,6,1592.5,-0.006079120964488932
員林,01F-239.4SN,23.702603,120.474917,3.0,7,1592.5,-0.7671289508488118
員林,01F-239.4SN,23.702603,120.474917,3.0,8,1595.0,-0.099914535531196
員林,01F-239.4SN,23.702603,120.474917,3.0,9,1595.0,-0.5267748356012631
員林,01F-239.4SN,23.702603,120.474917,3.0,10,1620.0,0.19978816939408683
員林,01F-239.4SN,23.702603,120.474917,3.0,11,1620.0,0.11803342499278449
員林,01F-242.5SN,23.677375,120.462281,4.0,4,1936.0,-0.16883375832199934
員林,01F-242.5SN,23.677375,120.462281,4.0,5,1936.0,-0.3160915438738343
員林,01F-242.5SN,23.677375,120.462281,4.0,6,1954.0,-0.04402670491489414
員林,01F-242.5SN,23.677375,120.462281,4.0,7,1954.0,-0.8275146543761359
員林,01F-242.5SN,23.677375,120.462281,4.0,8,1836.0,-0.15849066051718913
員林,01F-242.5SN,23.677375,120.462281,4.0,9,1836.0,-0.5560891416425449
員林,01F-242.5SN,23.677375,120.462281,4.0,10,1871.0,0.14709715476092783
員林,01F-242.5SN,23.677375,120.462281,4.0,11,1871.0,0.08277729409755678
員林,01F-247.2S,23.639556,120.443114,3.0,4,1660.5,-0.13290878835231468
員林,01F-247.2S,23.639556,120.443114,3.0,5,1660.5,-0.273182111882097
員林,01F-247.2S,23.639556,120.443114,3.0,6,1738.5,0.02735188880140148
員林,01F-247.2S,23.639556,120.443114,3.0,7,1738.5,-0.7448650948438293
員林,01F-247.2S,23.639556,120.443114,3.0,8,1640.0,-0.05446718868676878
員林,01F-247.2S,23.639556,120.443114,3.0,9,1640.0,-0.5395182868438915
員林,01F-247.2S,23.639556,120.443114,3.0,10,1611.0,0.23098362323346935
員林,01F-247.2S,23.639556,120.443114,3.0,11,1611.0,0.1383080906370202
員林,03F-199.2N,24.102525,120.578747,3.0,4,2408.0,-0.1020325861035294
員林,03F-199.2N,24.102525,120.578747,3.0,5,2408.0,-0.16763126584626278
員林,03F-199.2N,24.102525,120.578747,3.0,6,2549.5,0.108995373611842
員林,03F-199.2N,24.102525,120.578747,3.0,7,2549.5,-0.2137512523193388
員林,03F-199.2N,24.102525,120.578747,3.0,8,2405.5,0.2115455895521301
