Station,gantry,Latitude,Longitude,Lane Count,Billing Month,Electricity Consumption (kWh),Billing Period (Start),Billing Period (End)
樹林,05F-030.9SN,24.823656,121.786347,2,10,3455,2024-08-13,2024-10-13
樹林,05F-030.9SN,24.823656,121.786347,2,12,3206,2024-10-14,2024-12-11
樹林,05F-052.8N,24.632728,121.806958,2,6,1976,2024-03-26,2024-05-26
樹林,05F-052.8N,24.632728,121.806958,2,8,2107,2024-05-27,2024-07-28
樹林,05F-052.8N,24.632728,121.806958,2,10,1943,2024-07-29,2024-09-25
樹林,05F-052.8N,24.632728,121.806958,2,12,1958,2024-09-26,2024-11-26
樹林,05F-049.4S,24.662581,121.799908,2,6,2064,2024-04-03,2024-06-04
樹林,05F-049.4S,24.662581,121.799908,2,8,2175,2024-06-05,2024-08-06
樹林,05F-049.4S,24.662581,121.799908,2,10,2096,2024-08-07,2024-10-06
樹林,05F-049.4S,24.662581,121.799908,2,12,1950,2024-10-07,2024-12-05
樹林,05F-R11.3SN,24.733789,121.782022,1,5,3191,2024-03-06,2024-05-07
樹林,05F-R11.3SN,24.733789,121.782022,1,7,3075,2024-05-08,2024-07-04
樹林,05F-R11.3SN,24.733789,121.782022,1,9,3405,2024-07-05,2024-09-05
樹林,05F-R11.3SN,24.733789,121.782022,1,11,3185,2024-09-06,2024-11-06
樹林,05F-028.7SN,24.842714,121.789183,2,5,3163,2024-03-19,2024-05-20
樹林,05F-028.7SN,24.842714,121.789183,2,7,3025,2024-05-21,2024-07-17
樹林,05F-028.7SN,24.842714,121.789183,2,9,3383,2024-07-18,2024-09-19
樹林,05F-028.7SN,24.842714,121.789183,2,11,3065,2024-09-20,2024-11-19
樹林,頭城收費站,,,,5,1752,2024-04-15,2024-05-15
樹林,頭城收費站,,,,6,1687,2024-05-16,2024-06-13
樹林,頭城收費站,,,,7,2299,2024-06-14,2024-07-14
樹林,頭城收費站,,,,8,2197,2024-07-15,2024-08-14
樹林,頭城收費站,,,,9,2202,2024-08-15,2024-09-15
樹林,頭城收費站,,,,10,1788,2024-09-16,2024-10-15
樹林,頭城收費站,,,,11,1438,2024-10-16,2024-11-14
樹林,頭城收費站,,,,12,1240,2024-11-15,2024-12-15
樹林,05F-043.9S,24.710683,121.789461,2,6,1819,2024-04-10,2024-06-10
樹林,05F-043.9S,24.710683,121.789461,2,8,2116,2024-06-11,2024-08-11
樹林,05F-043.9S,24.710683,121.789461,2,10,1918,2024-08-12,2024-10-10
樹林,05F-043.9S,24.710683,121.789461,2,12,1851,2024-10-11,2024-12-10
樹林,05F-043.8N,24.711028,121.789478,2,6,1962,2024-04-10,2024-06-10
樹林,05F-043.8N,24.711028,121.789478,2,8,2238,2024-06-11,2024-08-11
樹林,05F-043.8N,24.711028,121.789478,2,10,2116,2024-08-12,2024-10-10
樹林,05F-043.8N,24.711028,121.789478,2,12,2012,2024-10-11,2024-12-10
